"","GEOID","NAME","med_rentE","med_rentM","no_bedE","no_bedM","one_bedE","one_bedM","med_rent_percE","med_rent_percM","two_bedE","two_bedM","three_bedE","three_bedM","four_bedE","four_bedM","five_bedE","five_bedM"
"94","10003013505","Census Tract 135.05, New Castle County, Delaware",1946,1033,NA,NA,NA,NA,17,24.8,NA,NA,1783,274,NA,NA,NA,NA
"95","10003013506","Census Tract 135.06, New Castle County, Delaware",1750,758,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","10003013614","Census Tract 136.14, New Castle County, Delaware",1183,99,NA,NA,991,102,30.3,8.8,1281,90,1298,508,NA,NA,NA,NA
"97","10003013615","Census Tract 136.15, New Castle County, Delaware",1307,319,NA,NA,869,332,34.3,13.4,851,369,1360,225,NA,NA,NA,NA
"98","10003014706","Census Tract 147.06, New Castle County, Delaware",1012,101,NA,NA,865,29,29,3.9,963,114,1148,90,NA,NA,NA,NA
"99","10003014807","Census Tract 148.07, New Castle County, Delaware",1292,93,NA,NA,896,308,22.1,1.6,1311,71,1483,268,NA,NA,NA,NA
"100","10003015400","Census Tract 154, New Castle County, Delaware",1020,313,NA,NA,NA,NA,29.5,12.7,880,293,1108,357,NA,NA,NA,NA
"101","10003000200","Census Tract 2, New Castle County, Delaware",1157,158,NA,NA,904,99,37.8,7.1,1167,84,1693,141,NA,NA,NA,NA
"102","10003000900","Census Tract 9, New Castle County, Delaware",912,55,NA,NA,613,136,50,11.7,895,58,971,101,909,372,NA,NA
"103","10003010101","Census Tract 101.01, New Castle County, Delaware",1112,46,NA,NA,999,108,27.7,1.9,1200,57,1009,686,NA,NA,NA,NA
"104","10003011205","Census Tract 112.05, New Castle County, Delaware",2125,449,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","10003013501","Census Tract 135.01, New Castle County, Delaware",2398,1201,NA,NA,2426,1578,42.4,12.9,NA,NA,NA,NA,NA,NA,NA,NA
"106","10003014300","Census Tract 143, New Castle County, Delaware",1348,307,NA,NA,2038,1864,24.8,5.9,1238,164,1713,164,2186,129,NA,NA
"107","10003013901","Census Tract 139.01, New Castle County, Delaware",1096,45,NA,NA,983,86,19.5,12.5,1112,22,NA,NA,NA,NA,NA,NA
"108","10003002400","Census Tract 24, New Castle County, Delaware",1044,116,NA,NA,834,50,33.8,14.8,962,117,1377,208,NA,NA,NA,NA
"109","10003015200","Census Tract 152, New Castle County, Delaware",1110,75,889,410,NA,NA,31.3,5,1045,78,1449,133,NA,NA,NA,NA
"110","10003001500","Census Tract 15, New Castle County, Delaware",1063,75,979,356,900,288,26.8,9.2,1082,67,1113,29,NA,NA,NA,NA
"111","10003011203","Census Tract 112.03, New Castle County, Delaware",1111,45,1025,151,1042,89,30.1,6.9,1130,43,1373,112,NA,NA,NA,NA
"112","10003001400","Census Tract 14, New Castle County, Delaware",1144,88,NA,NA,684,292,27.9,3.2,1148,111,1476,223,NA,NA,NA,NA
"113","10003012100","Census Tract 121, New Castle County, Delaware",1041,154,NA,NA,947,26,27.1,6,1232,145,1577,298,NA,NA,NA,NA
"114","10003013607","Census Tract 136.07, New Castle County, Delaware",1348,219,NA,NA,1060,251,25.4,4.8,1280,165,1863,165,NA,NA,NA,NA
"115","10003015600","Census Tract 156, New Castle County, Delaware",1215,119,NA,NA,NA,NA,28.4,18.1,NA,NA,1243,158,NA,NA,NA,NA
"116","10003011206","Census Tract 112.06, New Castle County, Delaware",1149,299,NA,NA,778,258,28,7.2,NA,NA,1500,511,NA,NA,NA,NA
"117","10003000500","Census Tract 5, New Castle County, Delaware",1253,135,NA,NA,712,135,24.8,15.2,1179,227,1344,131,1411,125,NA,NA
"118","10003013503","Census Tract 135.03, New Castle County, Delaware",1597,555,NA,NA,NA,NA,45.4,20.5,NA,NA,1685,192,NA,NA,NA,NA
"119","10005050101","Census Tract 501.01, Sussex County, Delaware",1237,201,NA,NA,NA,NA,26.1,14,792,609,1226,370,NA,NA,NA,NA
