"","GEOID","NAME","rent_30_10kE","rent_30_10kM","rent_35_10kE","rent_35_10kM","rent_40_10kE","rent_40_10kM","rent_50_10kE","rent_50_10kM","rent_30_20kE","rent_30_20kM","rent_35_20kE","rent_35_20kM","rent_40_20kE","rent_40_20kM","rent_50_20kE","rent_50_20kM","rent_30_35kE","rent_30_35kM","rent_35_35kE","rent_35_35kM","rent_40_35kE","rent_40_35kM","rent_50_35kE","rent_50_35kM","rent_30_50kE","rent_30_50kM","rent_35_50kE","rent_35_50kM","rent_40_50kE","rent_40_50kM","rent_50_50kE","rent_50_50kM","rent_30_75kE","rent_30_75kM","rent_35_75kE","rent_35_75kM","rent_40_75kE","rent_40_75kM","rent_50_75kE","rent_50_75kM"
"21","10003013604","Census Tract 136.04, New Castle County, Delaware",0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,35,10,16,0,12,54,46,9,13,11,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"22","10003014200","Census Tract 142, New Castle County, Delaware",0,12,0,12,0,12,15,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"23","10003014702","Census Tract 147.02, New Castle County, Delaware",0,12,0,12,0,12,13,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,6,0,12,5,8,0,12,0,12,0,12
"24","10003014705","Census Tract 147.05, New Castle County, Delaware",0,17,0,17,0,17,28,26,0,17,9,14,0,17,34,42,0,17,0,17,25,22,25,23,0,17,0,17,31,50,9,15,88,70,31,41,0,17,0,17
"25","10003001200","Census Tract 12, New Castle County, Delaware",0,12,0,12,0,12,11,12,0,12,0,12,0,12,4,6,0,12,0,12,4,6,0,12,19,29,0,12,0,12,0,12,16,15,13,13,14,21,0,12
"26","10003011400","Census Tract 114, New Castle County, Delaware",0,12,0,12,0,12,22,34,0,12,0,12,0,12,14,18,0,12,0,12,30,37,23,21,0,12,0,12,0,12,7,13,0,12,0,12,0,12,8,12
"27","10003012600","Census Tract 126, New Castle County, Delaware",0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,17,19,32,0,12,0,12,0,12,0,12,11,19,0,12,0,12,47,44,0,12,0,12,0,12
"28","10003012700","Census Tract 127, New Castle County, Delaware",0,12,28,49,0,12,101,73,0,12,0,12,0,12,6,11,0,12,14,23,9,11,82,58,14,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"29","10003013608","Census Tract 136.08, New Castle County, Delaware",0,12,0,12,0,12,8,9,0,12,0,12,0,12,62,34,0,12,0,12,16,15,20,15,3,5,0,12,0,12,0,12,0,12,17,25,0,12,0,12
"30","10003013611","Census Tract 136.11, New Castle County, Delaware",0,17,0,17,0,17,30,34,0,17,0,17,0,17,25,30,43,68,0,17,29,33,26,21,14,23,100,95,36,42,0,17,12,19,0,17,0,17,0,17
"31","10003001100","Census Tract 11, New Castle County, Delaware",13,25,0,12,0,12,147,115,0,12,0,12,23,33,37,30,116,84,15,23,70,69,0,12,14,23,11,22,10,18,90,95,9,15,0,12,0,12,0,12
"32","10003002700","Census Tract 27, New Castle County, Delaware",0,12,0,12,0,12,8,14,0,12,0,12,0,12,42,28,0,12,11,15,24,25,48,37,6,9,6,9,0,12,21,25,0,12,12,19,0,12,0,12
"33","10003010400","Census Tract 104, New Castle County, Delaware",0,12,0,12,0,12,34,34,0,12,0,12,0,12,36,25,0,12,0,12,0,12,0,12,0,12,16,18,28,35,0,12,19,22,0,12,0,12,0,12
"34","10003011204","Census Tract 112.04, New Castle County, Delaware",0,12,0,12,0,12,7,11,0,12,0,12,0,12,0,12,8,13,8,12,0,12,24,20,0,12,0,12,0,12,0,12,0,12,9,12,0,12,0,12
"35","10003011900","Census Tract 119, New Castle County, Delaware",0,12,0,12,0,12,27,32,0,12,0,12,0,12,33,39,0,12,9,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12
"36","10003012500","Census Tract 125, New Castle County, Delaware",0,12,0,12,0,12,17,28,0,12,0,12,0,12,70,76,13,21,35,51,46,71,52,54,110,88,0,12,13,22,0,12,0,12,0,12,0,12,0,12
"37","10003013100","Census Tract 131, New Castle County, Delaware",0,12,0,12,0,12,6,10,0,12,0,12,0,12,0,12,0,12,5,7,10,10,3,5,6,12,5,7,0,12,17,28,0,12,0,12,0,12,0,12
"38","10003013300","Census Tract 133, New Castle County, Delaware",0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,26,0,12,0,12,0,12,6,9,0,12,0,12,0,12,0,12,15,25,16,23,0,12,0,12
"39","10003013800","Census Tract 138, New Castle County, Delaware",0,17,0,17,0,17,47,61,0,17,13,24,0,17,0,17,0,17,0,17,15,25,50,60,39,45,13,21,4,8,39,60,51,41,13,22,0,17,0,17
